Leaf,N. photos,Notes,Width,Length,Perimeter,Weight,Area,,Dataset size:
204,13,flat surface; no eating holes; under shade,5.5,7.2,24.0,0.198,26.4,,
205,12,flat surface; no eating holes; with soild dust; under shade,5.9,7.9,26.5,0.229,30.53333333,,
206,14,flat surface; eating holes in the edge; under shade,6.0,8.5,27.5,0.264,35.2,,
207,14,wavy surface; no eating holes; under shade,5.8,8.1,26.0,0.232,30.93333333,,
208,12,flat surface; eating holes in the center; under shade,6.0,8.4,28.5,0.245,32.66666667,,
209,13,wavy surface; no eating holes; under shade,6.1,7.8,27.5,0.240,32,,
210,11,wavy surface; no eating holes; under shade,5.8,7.7,27.0,0.233,31.06666667,,
211,13,flat surface; eating holes in the edge; under shade,5.9,8.1,28.0,0.247,32.93333333,,
212,13,wavy surface; no eating holes; under shade,6.5,8.2,29.0,0.266,35.46666667,,
213,10,flat surface; eating holes in the edge; under shade,5.7,7.2,26.0,0.218,29.06666667,,
214,11,wavy surface; no eating holes; under shade,6.2,8.7,29.0,0.266,35.46666667,,
215,10,flat surface; no eating holes; under shade,5.2,7.3,24.0,0.188,25.06666667,,
216,10,flat surface; eating holes in the edge; under shade,5.6,7.8,25.5,0.218,29.06666667,,
217,10,wavy surface; no eating holes; under shade,5.8,7.5,25.0,0.232,30.93333333,,
218,15,flat surface; no eating holes; under shade,5.2,6.7,22.0,0.168,22.4,,
219,14,wavy surface; no eating holes; under shade,6.1,8.0,28.5,0.253,33.73333333,,
220,16,wavy surface; no eating holes; under shade,5.7,7.7,26.0,0.211,28.13333333,,
221,11,wavy surface; no eating holes; with soild dust; under sunlight,5.5,7.8,26.0,0.195,26,,
222,15,flat surface; no eating holes; under sunlight,5.5,7.7,25.0,0.207,27.6,,
223,13,wavy surface; no eating holes; under sunlight,5.3,6.8,23.5,0.177,23.6,,
224,13,wavy surface; no eating holes; under shade,5.0,6.4,22.0,0.162,21.6,,
225,12,wavy surface; no eating holes; under sunlight,5.3,7.5,24.5,0.195,26,,
226,11,flat surface; no eating holes; under sunlight,5.5,7.3,24.0,0.196,26.13333333,,
227,12,flat surface; no eating holes; under sunlight,5.0,6.6,22.0,0.158,21.06666667,,
228,14,flat surface; no eating holes; under shade,5.3,7.2,24.0,0.187,24.93333333,,
229,10,wavy surface; eating holes in the edge; with soild dust; under sunlight,5.6,7.8,26.0,0.225,30,,
230,13,wavy surface; no eating holes; with soild dust; under sunlight,6.3,8.5,27.5,0.252,33.6,,
231,9,wavy surface; no eating holes; under sunlight,6.0,8.4,28.0,0.248,33.06666667,,
232,16,flat surface; eating holes in the edge; under shade,5.5,7.4,25.0,0.208,27.73333333,,
233,13,flat surface; no eating holes; under shade,5.0,7.2,23.5,0.171,22.8,,
234,12,wavy surface; no eating holes; under shade,5.5,7.9,26.0,0.207,27.6,,
235,11,flat surface; no eating holes; with soild dust; under shade,5.1,6.9,23.0,0.175,23.33333333,,
236,10,wavy surface; no eating holes; under shade,5.4,7.6,24.5,0.204,27.2,,
237,11,wavy surface; no eating holes; under shade,4.4,6.8,22.0,0.150,20,,
238,9,wavy surface; eating holes in the edge; under shade,5.2,6.9,23.5,0.174,23.2,,
239,12,wavy surface; no eating holes; with soild dust; under sunlight,5.7,7.5,26.0,0.210,28,,
240,11,wavy surface; no eating holes; under shade,6.0,7.7,26.5,0.225,30,,
241,12,flat surface; no eating holes; under sunlight,5.5,7.3,25.0,0.195,26,,
242,14,wavy surface; no eating holes; with water drops; under shade,5.4,7.2,24.5,0.200,26.66666667,,
243,11,flat surface; no eating holes; under sunlight,4.8,6.4,22.0,0.153,20.4,,
244,12,flat surface; no eating holes; under sunlight,5.1,6.9,24.5,0.192,25.6,,
245,12,wavy surface; eating holes in the edge; under sunlight,6.0,8.0,27.0,0.230,30.66666667,,
