Leaf,N. photos,Notes,Width,Length,Perimeter,Weight,Area,,Dataset size:
436,9,wavy surface; no eating holes; under shade,5.3,7.4,25.0,0.187,24.93333333,,
437,14,wavy surface; no eating holes; under cloudy sky,5.5,8.5,27.0,0.225,30,,
438,9,flat surface; no eating holes; under cloudy sky,6.0,8.1,26.5,0.241,32.13333333,,
439,11,flat surface; no eating holes; under cloudy sky,5.8,7.7,26.0,0.221,29.46666667,,
440,10,flat surface; no eating holes; under cloudy sky,5.7,7.4,25.5,0.212,28.26666667,,
441,9,wavy surface; no eating holes; under cloudy sky,5.9,7.3,24.5,0.202,26.93333333,,
442,12,flat surface; no eating holes; under cloudy sky,5.4,7.6,24.0,0.200,26.66666667,,
443,12,wavy surface; no eating holes; under shade,5.0,7.2,23.0,0.189,25.2,,
444,12,wavy surface; no eating holes; under shade,5.0,6.9,22.5,0.168,22.4,,
445,13,wavy surface; no eating holes; under shade,5.9,7.8,26.0,0.220,29.33333333,,
446,12,wavy surface; eating holes in the edge; under shade,6.3,7.9,28.5,0.248,33.06666667,,
447,12,wavy surface; no eating holes; under shade,5.2,7.2,24.5,0.184,24.53333333,,
448,11,wavy surface; no eating holes; under shade,5.6,7.8,26.0,0.214,28.53333333,,
449,14,wavy surface; no eating holes; under cloudy sky,5.5,7.8,26.5,0.209,27.86666667,,
450,14,wavy surface; no eating holes; under cloudy sky,5.4,7.5,24.5,0.208,27.73333333,,
451,9,wavy surface; no eating holes; under shade,6.3,8.3,28.0,0.261,34.8,,
452,13,wavy surface; no eating holes; under shade,5.6,7.7,25.0,0.215,28.66666667,,
453,14,flat surface; no eating holes; under shade,5.0,6.8,22.5,0.164,21.86666667,,
454,11,flat surface; eating holes in the edge; under shade,5.3,7.8,26.0,0.191,25.46666667,,
455,12,flat surface; no eating holes; under shade,5.6,7.9,24.0,0.202,26.93333333,,
456,11,flat surface;no eating holes; with soild dust; under shade,5.8,7.5,24.5,0.215,28.66666667,,
457,13,wavy surface; no eating holes; under shade,5.5,8.0,25.5,0.221,29.46666667,,
458,13,wavy surface; eating holes in the edge; with soild dust; under shade,6.0,8.9,29.5,0.257,34.26666667,,
459,10,wavy surface; no eating holes; with soild dust; under shade,5.4,6.9,24.0,0.165,22,,
460,10,flat surface; no eating holes; under shade,5.0,6.3,20.5,0.139,18.53333333,,
461,11,wavy surface; no eating holes; with soild dust; under shade,4.9,7.0,22.0,0.156,20.8,,
462,10,wavy surface; no eating holes; under cloudy sky,5.1,7.3,24.0,0.177,23.6,,
463,10,wavy surface; no eating holes; under cloudy sky,5.3,7.8,24.5,0.189,25.2,,
464,11,flat surface; no eating holes; under cloudy sky,5.6,7.9,25.0,0.190,25.33333333,,
465,15,wavy surface; no eating holes; with soild dust; under cloudy sky,5.2,7.0,23.0,0.164,21.86666667,,
466,10,wavy surface; no eating holes; under cloudy sky,5.6,7.1,24.0,0.188,25.06666667,,
467,11,wavy surface; no eating holes; with soild dust; under cloudy sky,5.1,6.7,22.5,0.170,22.66666667,,
468,10,wavy surface; no eating holes; under cloudy sky,5.2,6.8,23.5,0.179,23.86666667,,
469,11,flat surface; no eating holes; under cloudy sky,4.9,7.1,22.0,0.179,23.86666667,,
470,12,wavy surface; no eating holes; under cloudy sky,4.6,6.6,21.0,0.143,19.06666667,,
471,10,wavy surface; no eating holes; with soild dust; under shade,5.6,7.7,25.0,0.219,29.2,,
472,11,wavy surface; no eating holes; with soild dust; under shade,5.5,7.3,24.5,0.211,28.13333333,,
473,13,flat surface; no eating holes; under shade,6.6,8.6,29.0,0.265,35.33333333,,
474,14,wavy surface; no eating holes; with soild dust; under shade,6.5,8.5,28.0,0.253,33.73333333,,
475,10,wavy surface; no eating holes; under shade,6.0,8.7,28.5,0.259,34.53333333,,
476,11,wavy surface; no eating holes; with soild dust; under shade,6.4,8.5,27.0,0.251,33.46666667,,
477,14,wavy surface; no eating holes; under shade,4.8,6.9,22.5,0.167,22.26666667,,
478,12,wavy surface; no eating holes; under shade,5.2,7.0,23.5,0.175,23.33333333,,
479,12,flat surface; eating holes in the edge; under shade,5.5,7.8,24.5,0.191,25.46666667,,
480,10,flat surface; no eating holes; with soild dust; under shade,5.5,6.8,22.5,0.193,25.73333333,,
481,13,wavy surface; eating holes in the center; under sunlight,5.0,7.0,21.5,0.164,21.86666667,,
482,9,wavy surface; no eating holes; under sunlight,4.8,6.8,22.5,0.162,21.6,,
483,11,wavy surface; no eating holes; with soild dust; under shade,4.9,7.0,24.0,0.170,22.66666667,,
484,12,wavy surface; no eating holes; with soild dust; under shade,5.2,7.3,24.5,0.183,24.4,,
485,12,wavy surface; no eating holes; with soild dust; under shade,5.5,7.8,26.5,0.208,27.73333333,,
486,10,wavy surface; no eating holes; under shade,5.2,7.4,24.5,0.187,24.93333333,,
487,11,wavy surface; no eating holes; under sunlight,5.3,7.7,25.0,0.197,26.26666667,,
488,13,wavy surface; no eating holes; with soild dust; under sunlight,5.0,6.8,24.0,0.166,22.13333333,,
489,11,wavy surface; no eating holes; under sunlight,5.1,6.7,21.5,0.162,21.6,,
490,16,wavy surface; no eating holes; under sunlight,5.5,7.2,22.5,0.188,25.06666667,,
491,14,wavy surface; eating holes in the edge; with soild dust; under sunlight,5.0,6.5,21.0,0.160,21.33333333,,
492,13,wavy surface; no eating holes; under shade,5.2,6.2,21.5,0.170,22.66666667,,
493,12,wavy surface; eating holes in the center; with soild dust; under shade,4.9,6.9,21.0,0.166,22.13333333,,
494,12,flat surface; no eating holes; with soild dust; under shade,5.0,7.0,22.0,0.155,20.66666667,,
495,11,wavy surface; no eating holes; under shade,4.5,6.5,21.0,0.136,18.13333333,,
496,13,wavy surface; no eating holes; with soild dust; under shade,4.9,6.4,22.0,0.147,19.6,,
497,10,flat surface; no eating holes; with soild dust; under shade,4.7,6.6,22.5,0.148,19.73333333,,
498,9,wavy surface; eating holes in the edge; under shade,4.8,6.6,22.0,0.163,21.73333333,,
499,12,wavy surface; eating holes in the edge; eating holes in the center; with soild dust; under shade,5.4,8.0,25.5,0.208,27.73333333,,
500,13,wavy surface; no eating holes; under shade,5.3,6.8,23.0,0.173,23.06666667,,
501,14,wavy surface; no eating holes; under shade,5.3,6.3,21.5,0.167,22.26666667,,
502,16,wavy surface; no eating holes; under shade,5.8,7.1,25.5,0.210,28,,
503,13,wavy surface; no eating holes; under shade,4.8,6.3,22.0,0.150,20,,
504,13,wavy surface; no eating holes; under shade,5.3,7.1,24.0,0.190,25.33333333,,
505,13,flat surface; eating holes in the edge; with soild dust; under shade,4.7,6.5,20.5,0.150,20,,
506,14,wavy surface; no eating holes; with soild dust; under shade,4.8,7.3,23.0,0.173,23.06666667,,
507,14,wavy surface; no eating holes; under shade,5.0,6.8,22.5,0.169,22.53333333,,
508,11,wavy surface; no eating holes; with soild dust; under shade,5.6,7.4,26.0,0.222,29.6,,
509,10,flat surface; no eating holes; under shade,5.9,8.2,27.0,0.223,29.73333333,,
510,13,flat surface; no eating holes; under shade,5.9,7.5,25.0,0.195,26,,
511,14,wavy surface; no eating holes; under shade,4.6,6.4,21.5,0.145,19.33333333,,
512,16,wavy surface; no eating holes; under shade,4.9,6.3,21.0,0.156,20.8,,
513,12,flat surface; no eating holes; under shade,5.2,7.2,23.5,0.183,24.4,,
514,10,wavy surface; no eating holes; under shade,5.9,7.5,25.5,0.209,27.86666667,,
515,12,wavy surface; no eating holes; under shade,5.1,7.1,24.0,0.187,24.93333333,,
516,12,flat surface; no eating holes; with soild dust; under shade,5.4,7.3,24.0,0.196,26.13333333,,
517,11,flat surface; no eating holes; under shade,5.1,7.2,23.0,0.183,24.4,,
518,12,flat surface; no eating holes; under shade,5.7,7.9,26.0,0.233,31.06666667,,
519,12,flat surface; eating holes in the center; under shade,5.0,6.6,21.5,0.160,21.33333333,,
520,13,wavy surface; no eating holes; under shade,5.3,7.8,25.0,0.210,28,,
521,9,wavy surface; no eating holes; with soild dust; under shade,5.2,6.6,23.0,0.175,23.33333333,,
522,10,flat surface; no eating holes; with soild dust; under shade,4.7,6.9,22.0,0.168,22.4,,
523,11,flat surface; no eating holes; under sunlight,6.9,8.6,30.0,0.270,36,,
524,11,wavy surface; no eating holes; under sunlight,5.7,6.4,22.5,0.174,23.2,,
525,16,wavy surface; no eating holes; under sunlight,4.8,6.4,21.0,0.156,20.8,,
526,12,wavy surface; no eating holes; under shade,5.5,7.0,24.0,0.193,25.73333333,,
527,13,flat surface; no eating holes; under shade,5.3,7.8,25.0,0.201,26.8,,
528,10,wavy surface; no eating holes; under shade,5.2,7.3,22.5,0.175,23.33333333,,
529,10,flat surface; no eating holes; under shade,5.6,7.7,24.0,0.215,28.66666667,,
530,10,wavy surface; no eating holes; under shade,5.5,7.4,23.0,0.206,27.46666667,,
531,11,wavy surface; no eating holes; under shade,5.7,7.1,25.5,0.200,26.66666667,,
532,10,wavy surface; no eating holes; under sunlight,6.0,7.3,25.0,0.204,27.2,,
533,10,wavy surface; no eating holes; under sunlight,5.2,7.7,24.5,0.197,26.26666667,,
534,13,wavy surface; no eating holes; under shade,4.7,6.8,22.5,0.160,21.33333333,,
535,11,wavy surface; no eating holes; under shade,5.2,7.0,23.0,0.175,23.33333333,,
536,16,wavy surface; no eating holes; under shade,5.2,7.5,25.5,0.195,26,,
537,11,wavy surface; no eating holes; under shade,5.6,6.9,24.0,0.177,23.6,,
538,11,wavy surface; no eating holes; under shade,5.0,7.5,24.5,0.183,24.4,,
539,11,wavy surface; no eating holes; under shade,6.1,8.7,29.0,0.255,34,,
540,12,wavy surface; no eating holes; under shade,6.7,9.0,30.5,0.296,39.46666667,,
541,13,wavy surface; no eating holes; under shade,4.3,6.1,20.0,0.130,17.33333333,,
542,15,wavy surface; no eating holes; under sunlight,4.5,7.0,21.5,0.156,20.8,,
543,12,flat surface; no eating holes; under shade,4.8,6.9,23.0,0.162,21.6,,
544,10,flat surface; no eating holes; under shade,5.2,7.3,23.5,0.179,23.86666667,,
545,12,wavy surface; no eating holes; under shade,5.3,7.0,24.0,0.183,24.4,,
546,9,wavy surface; no eating holes; under shade,4.8,6.4,21.5,0.144,19.2,,
547,9,flat surface; no eating holes; under shade,5.0,5.7,20.5,0.147,19.6,,
548,10,wavy surface; no eating holes; under shade,5.2,6.0,21.0,0.158,21.06666667,,
549,12,wavy surface; no eating holes; under shade,5.5,7.6,26.0,0.210,28,,
550,9,wavy surface; no eating holes; under shade,5.6,7.5,25.5,0.195,26,,
551,11,wavy surface; no eating holes; under shade,4.7,6.5,22.0,0.152,20.26666667,,
552,12,flat surface; eating holes in the edge; under sunlight,4.8,7.0,22.5,0.158,21.06666667,,
553,11,wavy surface; no eating holes; under sunlight,4.7,6.3,21.0,0.144,19.2,,
554,10,flat surface; eating holes in the edge; under sunlight,4.8,6.9,22.5,0.159,21.2,,
555,12,wavy surface; no eating holes; under sunlight,4.6,6.3,20.0,0.139,18.53333333,,
556,10,wavy surface; no eating holes; under sunlight,4.9,6.7,23.0,0.168,22.4,,
557,10,wavy surface; no eating holes; under shade,5.2,7.0,23.5,0.173,23.06666667,,
558,9,flat surface; no eating holes; under shade,5.0,6.8,23.0,0.152,20.26666667,,
559,9,wavy surface; no eating holes; under shade,5.1,7.0,24.0,0.173,23.06666667,,
560,9,wavy surface; no eating holes; under shade,5.5,6.9,24.5,0.189,25.2,,
561,11,wavy surface; eating holes in the edge; with soild dust; under shade,4.8,6.4,23.0,0.154,20.53333333,,
562,10,wavy surface; eating holes in the edge; with soild dust; under shade,5.0,6.9,24.0,0.156,20.8,,
563,13,flat surface; no eating holes; under shade,4.8,7.2,24.0,0.173,23.06666667,,
564,10,wavy surface; no eating holes; under shade,4.8,7.1,23.5,0.174,23.2,,
565,14,wavy surface; no eating holes; with soild dust; under shade,5.1,6.6,23.0,0.181,24.13333333,,
566,11,wavy surface; no eating holes; with soild dust; under shade,4.6,6.9,22.5,0.157,20.93333333,,
567,11,wavy surface; no eating holes; under cloudy sky,4.6,6.0,20.5,0.136,18.13333333,,
568,10,wavy surface; no eating holes; under cloudy sky,4.4,5.7,19.5,0.120,16,,
569,12,flat surface; no eating holes; under cloudy sky,4.1,6.2,20.0,0.122,16.26666667,,
570,13,flat surface; no eating holes; with soild dust; under shade,4.1,5.8,19.0,0.115,15.33333333,,
571,11,wavy surface; no eating holes; under shade,4.7,6.7,23.0,0.160,21.33333333,,
572,12,wavy surface; no eating holes; under shade,5.2,6.8,23.5,0.174,23.2,,
573,14,wavy surface; no eating holes; with soild dust; under shade,4.5,5.9,20.5,0.127,16.93333333,,
574,12,wavy surface; no eating holes; under shade,4.6,6.5,22.0,0.150,20,,
575,15,wavy surface; no eating holes; under shade,5.3,7.7,26.5,0.213,28.4,,
576,11,wavy surface; no eating holes; under shade,5.0,6.3,22.0,0.163,21.73333333,,
577,12,wavy surface; no eating holes; under shade,4.6,6.2,21.5,0.143,19.06666667,,
578,12,wavy surface; no eating holes; under shade,4.3,6.4,21.0,0.141,18.8,,
579,13,wavy surface; eating holes in the edge; under shade,5.4,7.5,27.0,0.206,27.46666667,,
580,14,wavy surface; no eating holes; with soild dust; under shade,4.7,6.9,22.5,0.157,20.93333333,,
581,12,wavy surface; no eating holes; under shade,4.8,4.8,18.5,0.119,15.86666667,,
582,9,flat surface; no eating holes; under shade,4.4,5.7,18.0,0.125,16.66666667,,
583,10,wavy surface; no eating holes; under shade,6.0,8.2,28.0,0.230,30.66666667,,
584,10,flat surface; eating holes in the edge; under shade,5.6,7.3,27.5,0.213,28.4,,
585,10,wavy surface; no eating holes; under shade,4.6,6.4,22.0,0.137,18.26666667,,
586,11,wavy surface; no eating holes; under shade,4.8,6.6,22.5,0.158,21.06666667,,
587,15,wavy surface; no eating holes; under shade,4.7,6.8,23.0,0.157,20.93333333,,
588,14,wavy surface; no eating holes; under shade,4.9,6.7,22.5,0.156,20.8,,
589,13,flat surface; no eating holes; under shade,4.6,6.6,22.5,0.151,20.13333333,,
590,10,flat surface; eating holes in the edge; under shade,5.3,6.4,23.0,0.177,23.6,,
591,11,wavy surface; no eating holes; under shade,5.2,7.0,23.5,0.178,23.73333333,,
592,11,wavy surface; no eating holes; under shade,5.3,7.2,25.0,0.196,26.13333333,,
593,10,wavy surface; no eating holes; under shade,5.1,7.1,24.0,0.195,26,,
594,12,wavy surface; no eating holes; under shade,5.0,7.0,23.5,0.173,23.06666667,,
595,10,wavy surface; no eating holes; under shade,5.8,7.7,25.5,0.216,28.8,,
596,9,wavy surface; no eating holes; under shade,5.5,7.5,24.5,0.200,26.66666667,,
597,12,wavy surface; no eating holes; under shade,4.6,6.5,22.0,0.149,19.86666667,,
598,11,wavy surface; no eating holes; under shade,4.9,7.0,23.0,0.167,22.26666667,,
599,12,wavy surface; no eating holes; under shade,4.6,6.8,22.5,0.150,20,,
600,11,wavy surface; no eating holes; under shade,4.8,6.9,22.0,0.164,21.86666667,,
601,11,wavy surface; no eating holes; under shade,4.9,7.3,23.5,0.181,24.13333333,,
602,14,wavy surface; no eating holes; under shade,4.5,6.2,21.5,0.150,20,,
603,11,wavy surface; no eating holes; under shade,5.5,7.4,24.5,0.199,26.53333333,,
604,12,wavy surface; no eating holes; under shade,4.8,7.0,22.5,0.165,22,,
605,10,wavy surface; no eating holes; under shade,6.2,8.6,29.0,0.266,35.46666667,,
606,11,wavy surface; no eating holes; under shade,5.7,7.5,26.0,0.215,28.66666667,,
607,10,flat surface; no eating holes; under shade,5.4,6.5,22.5,0.173,23.06666667,,
608,11,flat surface; no eating holes; under shade,5.3,7.4,24.5,0.202,26.93333333,,
609,11,flat surface; no eating holes; with soild dust; under shade,4.5,6.3,21.0,0.139,18.53333333,,
610,12,wavy surface; no eating holes; under sunlight,4.6,5.6,20.5,0.132,17.6,,
611,10,wavy surface; no eating holes; under shade,4.8,6.4,21.0,0.153,20.4,,
612,12,wavy surface; no eating holes; under shade,4.7,6.3,22.0,0.146,19.46666667,,
